,Title,Link,Location,Latitude,Longitude,NumReviews,PriceRange,Tags,Categories,Address
0,Babasan by Uncle Kiisu,/babasan-by-uncle-kiisu,Clarke Quay,1.2860345,103.8495524,4,~$30/pax,['BEYOND'],"['Local Delights', ' Japanese', ' 1-for-1 Deals', ' Burpple Beyond']",50 Circular Road Singapore 049405
1,Enjoy Eating House and Bar,/enjoy-eating-house-and-bar,Farrer Park,1.3131906,103.8596966,131,~$15/pax,"['BEYOND', 'Featured In 3 Guides']","['Bars', ' Local Delights', ' Zi Char', ' Thai', ' Chinese', ' 1-for-1 Deals']",383 Jalan Besar Kam Leng Hotel Singapore 209001
2,Wu Pao Chun,/wu-pao-chun-bakery,City Hall,1.292939,103.8514798,79,~$13/pax,"['BEYOND', 'Featured In 1 Guide']","['Bread', ' 1-for-1 Deals', ' Burpple Beyond']",13 Stamford Road  #01-19/20 Capitol Singapore Singapore 178905
3,The Salted Plum (Circular Road),/thesaltedplumsg,Raffles Place,1.2877831,103.8488873,215,~$20/pax,"['BEYOND', 'Hot 100 2019']","['Taiwanese', ' Cheap & Good', ' 1-for-1 Deals', ' Burpple Beyond']",10 Circular Road Singapore 049366
4,Rakki Bowl,/rakki-bowl,Tanjong Pagar,1.2781731,103.8430131,293,~$25/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 2 Guides']","['Chirashi', ' Japanese', ' 1-for-1 Deals']",72 Duxton Road Singapore 089531
5,elemen (Millenia Walk),/elemen,Millenia Walk,1.2927837,103.8596732,160,~$30/pax,['Featured In 1 Guide'],"['Vegetarian', ' Healthy']",9 Raffles Boulevard #01-75A/76 Millenia Walk Singapore 039596
6,Pasta e Formaggio (Marina Square),/pasta-e-formaggio-marina-square,Marina Square,1.291433,103.8576787,64,~$15/pax,['BEYOND'],"['Italian', ' Pasta', ' 1-for-1 Deals']",6 Raffles Boulevard #02-100A/B Marina Square Singapore 039594
7,SE7ENTH,/se7enth,Tanjong Pagar,1.2772013,103.8486085,35,~$35/pax,"['BEYOND', 'Featured In 1 Guide']","['Pasta', ' Western', ' Good For Groups', ' 1-for-1 Deals', ' Burpple Beyond']","Oakwood Premier OUE Singapore 6 Shenton Way, OUE Downtown 1, #07-01 Singapore 068809"
8,Good Time Eat Drink,/goodtimeeatdrink,Marine Parade,1.312892,103.9239769,72,~$20/pax,"['BEYOND', 'Featured In 1 Guide']","['Bars', ' Local Delights', ' Dinner with Drinks', ' Good For Groups', ' 1-for-1 Deals']",889 East Coast Road Singapore 459092
9,Elixir Boutique Roasters,/elixir-boutique-roasters,Bukit Timah,1.3225807,103.8136111,54,~$22/pax,"['BEYOND', 'Featured In 2 Guides']","['Breakfast & Brunch', ' Cafes & Coffee', ' 1-for-1 Deals', ' Burpple Beyond']",10 Jalan Serene #01-03A Serene Centre Singapore 258748
10,Le Coq,/lecoqsg,Raffles Place,1.2838388,103.8488754,71,~$15/pax,"['BEYOND', 'Featured In 1 Guide']","['Chirashi', ' Japanese', ' Dinner with Drinks', ' Good For Groups', ' 1-for-1 Deals', ' Burpple Beyond']",25 Church Street #01-04 Capital Square 2 Singapore 049482
11,Breko Café,/breko-cafe-holland-village,Holland,1.311838,103.794551,186,~$20/pax,['BEYOND'],"['Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' Good For Groups', ' 1-for-1 Deals', ' Western']",38 Lorong Mambong Singapore 277694
12,Cheeky,/cheeky_allday,Outram Park,1.2798303,103.8424746,48,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Bars', ' Breakfast & Brunch', ' Cafes & Coffee', ' Craft Beer', ' 1-for-1 Deals', ' Burpple Beyond']",74 Neil Road Singapore 088839
13,YoBo,/yobo,Tanjong Pagar,1.278645,103.847414,6,~$15/pax,"['BEYOND', 'Featured In 1 Guide']","['Salads', ' 1-for-1 Deals', ' Healthy', ' Burpple Beyond', ' Newly Opened']",182 Cecil Street #02-14 Frasers Tower Singapore 069547
14,BUNDT by The Backyard Bakers,/bundt-by-the-backyard-bakers,Clarke Quay,1.2871073,103.8452663,62,~$5/pax,[],"['Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' Cakes']",2 Havelock Road #01-22 Havelock II Singapore
15,The Salted Plum (Suntec City),/the-salted-plum-1,Promenade,1.2957055,103.8597298,32,~$20/pax,['BEYOND'],"['Taiwanese', ' 1-for-1 Deals', ' Burpple Beyond']",3 Temasek Boulevard #B1-122A Suntec City (West Wing) Singapore 038983
16,Shin Minori (Katong Square),/shin-minori-katong-square,Marine Parade,1.3047271,103.9046567,51,~$45/pax,['BEYOND'],"['Buffets', ' Japanese', ' 1-for-1 Deals']",88 East Coast Road #02-08 Katong Square Singapore 423371
17,Social Place,/social-place-singapore,Orchard,1.306069,103.8286,8,~$45/pax,[],"['Dim Sum', ' Chinese']",583 Orchard Road #01-22 Forum The Shopping Mall Singapore 238884
18,Fat Belly,/fat-belly,Bukit Timah,1.3226937,103.8136882,299,~$30/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 5 Guides']","['Steak', ' Desserts', ' Dinner with Drinks', ' 1-for-1 Deals']",10 Jalan Serene #01-04 Serene Centre Singapore 258748
19,Boufe Boutique Cafe (Tanglin),/boufe-boutique-cafe,Tanglin,1.297722,103.814598,529,~$25/pax,"['BEYOND', 'Featured In 6 Guides']","['Pasta', ' Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' Cakes', ' 1-for-1 Deals']",308 Tanglin Road #01-01 Phoenix Park Singapore 247974
20,Pasta Supremo,/pastasupremosg,Esplanade,1.2957055,103.8597298,205,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Pasta', ' 1-for-1 Deals']",3 Temasek Boulevard #01-365/366/373/374 Suntec City Singapore 038983
21,Moc Quan (UE Square),/moc-quan,Clarke Quay,1.2923446,103.8426224,66,~$15/pax,"['BEYOND', 'Featured In 2 Guides']","['Vietnamese', ' 1-for-1 Deals']",81 Clemenceau Avenue #01-23 UE Square Shopping Mall  Singapore 239917
22,Bacha Coffee,/bacha-coffee,Orchard,1.303414,103.832267,19,~$10/pax,['Featured In 1 Guide'],"['Cafes & Coffee', ' Newly Opened']",2 Orchard Turn #01-15/16 ION Orchard  Singapore 238801
23,JUJU (Icon Village),/juju-icon-village,Tanjong Pagar,1.2753013,103.8443917,0,~$10/pax,['BEYOND'],"['Ice Cream & Yoghurt', ' Desserts', ' 1-for-1 Deals', ' Healthy', ' Burpple Beyond']",12 Gopeng Street #01-23 Icon Village Singapore 078877
24,Nesuto,/nesuto,Tanjong Pagar,1.2780034,103.8444617,398,~$15/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 3 Guides']","['Salads', ' Desserts', ' Sandwiches', ' Cakes', ' 1-for-1 Deals']",53 Tras Street #01-01 Singapore 078992
25,Tai Cheong Bakery (Takashimaya),/tai-cheong-bakery-takashimaya,Orchard,1.3026266,103.8346306,150,~$10/pax,['Featured In 1 Guide'],['Desserts'],391 Orchard Road #B208-5 Takashimaya Food Hall Singapore 238872
26,One Man Coffee (Upper Thomson),/one-man-coffee,Thomson,1.3525486,103.8346813,677,~$20/pax,"['BEYOND', 'Featured In 6 Guides']","['Burpple Guides', ' Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' 1-for-1 Deals']",215R Upper Thomson Road Singapore 574349
27,Amber Ember,/amber-ember,Kovan,1.3534467,103.8780095,75,~$15/pax,"['BEYOND', 'Featured In 2 Guides']","['Breakfast & Brunch', ' Cafes & Coffee', ' Sandwiches', ' 1-for-1 Deals']",730 Upper Serangoon Road #01-01 Yeley Building Singapore 534613
28,The Masses,/the-masses,Bugis,1.2970569,103.856666,327,~$30/pax,"['Hot 100 2019', 'Featured In 2 Guides']","['Dinner with Drinks', ' Date Night', ' European']",85 Beach Road #01-02 Singapore 189694
29,Tokidon,/tokidon,Raffles Place,1.2814095,103.8510185,37,~$20/pax,"['BEYOND', 'Featured In 1 Guide']","['Japanese', ' 1-for-1 Deals', ' Burpple Beyond']",16 Raffles Quay #B1-33 Hong Leong Building Singapore 048581
30,Chunky Lobsters (The Cathay),/chunky-lobsters-the-cathay,Dhoby Ghaut,1.2993784,103.8478027,19,~$15/pax,['BEYOND'],"['Seafood', ' Cheap & Good', ' 1-for-1 Deals', ' Western', ' Burpple Beyond']",2 Handy Road #01-01 The Cathay Singapore 229233
31,La Dame de Pic,/la-dame-de-pic,Bras Basah,1.3034886,103.8645218,23,~$200/pax,[],"['French', ' Date Night', ' Fine Dining', ' Newly Opened']",1 Beach Road Grand Lobby Raffles Singapore Singapore 189673
32,The Dark Gallery (Takashimaya),/the-dark-gallery-takashimaya-1,Orchard,1.3031884,103.8341773,131,~$10/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 1 Guide']","['Ice Cream & Yoghurt', ' Desserts', ' Cakes', ' 1-for-1 Deals']",391 Orchard Road #B2-29 Ngee Ann City Singapore 238872
33,Shake Farm (Telok Ayer),/shake-farm,Telok Ayer,1.2810504,103.8498409,48,~$15/pax,"['BEYOND', 'Featured In 1 Guide']","['Salads', ' 1-for-1 Deals', ' Healthy']",126 Telok Ayer Street Singapore 068595
34,Biseryu Japanese Cuisines,/biseryu-japanese-cuisines,Orchard,1.3071502,103.8337132,155,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Steak', ' Japanese', ' 1-for-1 Deals', ' Burpple Beyond']",14 Scotts Road #02-58/59 Far East Plaza Singapore 228213
35,Rookery (Hong Leong Building),/rookery,Raffles Place,1.281186,103.8508349,208,~$25/pax,"['BEYOND', 'Featured In 2 Guides']","['Pasta', ' Bars', ' Breakfast & Brunch', ' Cafes & Coffee', ' Dinner with Drinks', ' Craft Beer', ' 1-for-1 Deals', ' Western']",16 Raffles Quay #01-02A Hong Leong Building Singapore 048581
36,The Forage Cafe,/the-forage-cafe-by-thirteen-honey,Tanah Merah,1.333907,103.948768,8,~$20/pax,"['BEYOND', 'Featured In 1 Guide']","['Ice Cream & Yoghurt', ' Desserts', ' Cafes & Coffee', ' Sandwiches', ' Breakfast & Brunch', ' Good For Groups', ' Waffles', ' 1-for-1 Deals', ' Burpple Beyond']",30 Jalan Pari Burong Singapore 488696
37,Le Binchotan,/115-amoy-street,Amoy Street,1.282215,103.8476854,103,~$75/pax,['Featured In 1 Guide'],"['Bars', ' French', ' Late Night', ' Japanese', ' Date Night', ' Dinner with Drinks', ' Cocktails']",115 Amoy Street #01-04 Singapore 069935
38,Jekyll & Hyde,/jekyllandhyde,Tanjong Pagar,1.2780845,103.8444861,88,~$40/pax,"['BEYOND', 'Featured In 3 Guides']","['Burpple Guides', ' Bars', ' Late Night', ' Cocktails', ' Good For Groups', ' 1-for-1 Deals']",49 Tras Street Singapore 078988
39,The Mad Sailors,/the-mad-sailors,Bugis,1.3006886,103.8591718,58,~$30/pax,"['BEYOND', 'Featured In 1 Guide']","['Cafes & Coffee', ' 1-for-1 Deals', ' Western', ' Halal', ' Burpple Beyond']",24 Haji Lane Singapore 189217
40,Kei Kaisendon (Marina Square),/kei-kaisendon-marina-square,Marina Square,1.291433,103.8576787,34,~$20/pax,"['BEYOND', 'Featured In 1 Guide']","['Chirashi', ' Sushi', ' Seafood', ' Japanese', ' 1-for-1 Deals', ' Burpple Beyond']",6 Raffles Boulevard #02-266A/B Marina Square Singapore 039594
41,Nyonya Flavours,/nyonyaflavourssingapore,Beach Road,1.3019921,103.8642024,6,~$5/pax,[],"['Peranakan', ' Halal']",6001 Beach Road #01-37 Golden Mile Tower Singapore 199589
42,Edith Patisserie,/edith-patisserie,Bugis,1.3034245,103.8597426,37,~$50/pax,"['BEYOND', 'Featured In 1 Guide']","['Desserts', ' Cakes', ' 1-for-1 Deals']",772 North Bridge Road #01-00 Singapore 198740
43,MediumRare by Saveur,/mediumrare-by-saveur,Tampines,1.3523888,103.9438567,35,~$25/pax,[],"['Steak', ' Western', ' Newly Opened']",2 Tampines Central 5 #01-35 Century Square Singapore 529509
44,Tamoya Udon (Liang Court),/tamoyasanuki-udon-1,Clarke Quay,1.291526,103.844393,191,~$10/pax,"['BEYOND', 'Featured In 1 Guide']","['Japanese', ' Cheap & Good', ' 1-for-1 Deals', ' Burpple Beyond']",177 River Valley Road #01-32 Liang Court Singapore 179030
45,Rookery (Capital Tower),/rookery-1,Tanjong Pagar,1.2777366,103.8476215,69,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Pasta', ' Cafes & Coffee', ' Dinner with Drinks', ' Craft Beer', ' Breakfast & Brunch', ' Western', ' 1-for-1 Deals']",168 Robinson Road #01-08 Capital Tower Singapore 068912
46,Omoté,/omote,Thomson,1.3549978,103.8310056,367,~$15/pax,"['Hot 100 2019', 'Featured In 3 Guides', 'Inside Scoop']","['Hidden Gem', ' Chirashi', ' Sushi', ' Japanese', ' Cheap & Good']",301 Upper Thomson Road #03-24A Thomson Plaza Singapore 574408
47,Hopii,/hopii-singapore,Paya Lebar,1.3189418,103.8944605,4,~$5/pax,"['BEYOND', 'Featured In 1 Guide']","['1-for-1 Deals', ' Burpple Beyond', ' Bubble Tea', ' Newly Opened']",10 Eunos Road 8 #01-107A SingPost Centre Singapore 408600
48,Red Sparrow,/red-sparrow,Dempsey,1.3042341,103.8100792,38,~$25/pax,"['BEYOND', 'Featured In 1 Guide']","['Vietnamese', ' 1-for-1 Deals']",11 Dempsey Road #01-18 Singapore 249673
49,KOOKS Creamery (Serangoon),/kooks-creamery,Serangoon,1.3563532,103.8732142,185,~$10/pax,"['BEYOND', 'Featured In 3 Guides']","['Ice Cream & Yoghurt', ' Desserts', ' 1-for-1 Deals']",211 Serangoon Avenue 4 #01-02 Singapore 550211
50,Good Bites,/good-bites,Bishan,1.3555682,103.8508826,7,~$15/pax,['BEYOND'],"['Salads', ' 1-for-1 Deals', ' Healthy', ' Burpple Beyond']",5 Bishan Street 14 #03-01 Bishan Sports Hall Singapore 579783
51,Tom's Palette,/toms-palette,Beach Road,1.2961699,103.8570961,246,~$5/pax,"['BEYOND', 'Featured In 3 Guides']","['Ice Cream & Yoghurt', ' Hidden Gem', ' Desserts', ' Good For Groups', ' Waffles', ' 1-for-1 Deals']",100 Beach Road #01-25 Shaw Leisure Gallery Singapore 189702
52,GOGO Bento,/gogobentosg,Tanjong Pagar,1.278646,103.8484196,3,~$12/pax,"['BEYOND', 'Featured In 1 Guide']","['1-for-1 Deals', ' Healthy', ' Burpple Beyond']",138 Robinson Road #02-38 Oxley Tower Singapore 068906
53,SKAI,/skai,City Hall,1.2933597,103.8531036,35,~$45/pax,[],"['Steak', ' Great View', ' Dinner with Drinks', ' Date Night', ' Breakfast & Brunch', ' Western']",2 Stamford Road Level 70 Swissôtel The Stamford Singapore 178882
54,Godmama,/godmama,City Hall,1.2911354,103.8501524,43,~$20/pax,[],"['Peranakan', ' Breakfast & Brunch', ' Cafes & Coffee', ' Newly Opened']",107 North Bridge Road #04-07 Funan Singapore 179105
55,The Coffee Academics (Scotts Square),/the-coffee-academics-singapore,Orchard,1.3060907,103.8329104,439,~$30/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 2 Guides']","['Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' 1-for-1 Deals', ' Western']",6 Scotts Road #02-01/02 Scotts Square Singapore 228209
56,Tenjin,/tenjin-restaurant,Orchard,1.3063434,103.8318606,19,~$20/pax,['Featured In 1 Guide'],['Japanese'],1 Scotts Road #03-08 Shaw Centre Singapore 228208
57,Nassim Hill Bakery Bistro Bar,/nassim-hill-bakery-bistro-bar,Tanglin,1.3056094,103.8229926,416,~$30/pax,"['BEYOND', 'Featured In 1 Guide']","['Bars', ' Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' Dinner with Drinks', ' Sandwiches', ' Bread', ' 1-for-1 Deals', ' Western', ' Burpple Beyond']",56 Tanglin Road #01-03 Tanglin Post Office  Singapore 247964
58,Vatos Urban Tacos (South Beach),/vatos-urban-tacos-2,City Hall,1.2957656,103.8561785,210,~$35/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 3 Guides']","['Bars', ' Mexican', ' Korean', ' Dinner with Drinks', ' Good For Groups', ' 1-for-1 Deals']",36 Beach Road #01-03 Singapore 189766
59,The Moment Singapore 這一刻,/the-moment-singapore,Raffles Place,1.282991,103.8492521,27,~$5/pax,"['BEYOND', 'Featured In 1 Guide']","['Taiwanese', ' Fruit Tea', ' 1-for-1 Deals', ' Burpple Beyond', ' Bubble Tea']",51 Telok Ayer Street #01-06A Singapore 048441
60,Mpire,/mpire-77-amoy-street,Tanjong Pagar,1.2805457,103.8466433,11,~$30/pax,"['BEYOND', 'Featured In 1 Guide']","['Bars', ' Burgers', ' Craft Beer', ' 1-for-1 Deals', ' Western', ' Burpple Beyond']",77 Amoy Street Singapore 069896
61,Pasta Brava,/pasta-brava,Tanjong Pagar,1.2777271,103.8426847,169,~$40/pax,['BEYOND'],"['Italian', ' Pasta', ' Date Night', ' Dinner with Drinks', ' 1-for-1 Deals']",11 Craig Road Singapore 089671
62,Paddyfolks,/paddyfolks,City Hall,1.2911354,103.8501524,11,~$15/pax,['BEYOND'],"['Hidden Gem', ' Salads', ' Cheap & Good', ' Good For Groups', ' 1-for-1 Deals', ' Healthy', ' Burpple Beyond', ' Newly Opened']",107 North Bridge Road #02-37/38 Funan Singapore 179105
63,Pixy,/pixy-bar-cuisine,Robertson Quay,1.293631,103.8414711,20,~$50/pax,"['BEYOND', 'Featured In 1 Guide']","['Italian', ' Bars', ' Late Night', ' Japanese', ' Dinner with Drinks', ' 1-for-1 Deals', ' Burpple Beyond']",16 Mohamed Sultan Road #01-01 Singapore 238965
64,Wheeler's Yard,/whelers-yard,Balestier,1.326623,103.852831,574,~$25/pax,"['BEYOND', 'Hot 100 2019', 'Featured In 1 Guide']","['Burpple Guides', ' Date Night', ' Breakfast & Brunch', ' Cafes & Coffee', ' Good For Groups', ' 1-for-1 Deals', ' Burpple Beyond']",28 Lorong Ampas Singapore 328781
65,Oriole Coffee + Bar (Somerset),/oriole-cafe-bar,Somerset,1.3009827,103.8379567,810,~$30/pax,['Featured In 3 Guides'],"['Burpple Guides', ' Desserts', ' Breakfast & Brunch', ' Cafes & Coffee', ' Dinner with Drinks', ' Good For Groups', ' Western']",96 Somerset Road #01-01 Pan Pacific Serviced Suites Singapore 238163
66,CHICHA San Chen ([email protected]),/chicha-san-chen,Somerset,1.3010308,103.8382552,88,~$5/pax,['Featured In 1 Guide'],"['Fruit Tea', ' Bubble Tea']",313 Orchard Road #03-41 [email protected] Singapore 238895
67,Yanmi Yogurt,/yanmi-yogurt,City Hall,1.2911354,103.8501524,8,~$5/pax,[],"['Ice Cream & Yoghurt', ' Desserts']",107 North Bridge Road #02-03 Funan Singapore 179105
68,Delibowl Express (Funan),/delibowl-express-funan,City Hall,1.2911354,103.8479637,14,~$10/pax,"['BEYOND', 'Featured In 1 Guide']","['Chinese', ' 1-for-1 Deals', ' Burpple Beyond']",107 North Bridge Road #02-06 Funan Singapore 179105
