RestaurantName,Restaurant
Babasan by Uncle Kiisu,/babasan-by-uncle-kiisu
Enjoy Eating House and Bar,/enjoy-eating-house-and-bar
Wu Pao Chun,/wu-pao-chun-bakery
The Salted Plum (Circular Road),/thesaltedplumsg
Rakki Bowl,/rakki-bowl
elemen (Millenia Walk),/elemen
Pasta e Formaggio (Marina Square),/pasta-e-formaggio-marina-square
SE7ENTH,/se7enth
Good Time Eat Drink,/goodtimeeatdrink
Elixir Boutique Roasters,/elixir-boutique-roasters
Le Coq,/lecoqsg
Breko Café,/breko-cafe-holland-village
Cheeky,/cheeky_allday
YoBo,/yobo
BUNDT by The Backyard Bakers,/bundt-by-the-backyard-bakers
The Salted Plum (Suntec City),/the-salted-plum-1
Shin Minori (Katong Square),/shin-minori-katong-square
Social Place,/social-place-singapore
Fat Belly,/fat-belly
Boufe Boutique Cafe (Tanglin),/boufe-boutique-cafe
Pasta Supremo,/pastasupremosg
Moc Quan (UE Square),/moc-quan
Bacha Coffee,/bacha-coffee
JUJU (Icon Village),/juju-icon-village
Nesuto,/nesuto
Tai Cheong Bakery (Takashimaya),/tai-cheong-bakery-takashimaya
One Man Coffee (Upper Thomson),/one-man-coffee
Amber Ember,/amber-ember
The Masses,/the-masses
Tokidon,/tokidon
Chunky Lobsters (The Cathay),/chunky-lobsters-the-cathay
La Dame de Pic,/la-dame-de-pic
The Dark Gallery (Takashimaya),/the-dark-gallery-takashimaya-1
Shake Farm (Telok Ayer),/shake-farm
Biseryu Japanese Cuisines,/biseryu-japanese-cuisines
Rookery (Hong Leong Building),/rookery
The Forage Cafe,/the-forage-cafe-by-thirteen-honey
Le Binchotan,/115-amoy-street
Jekyll & Hyde,/jekyllandhyde
The Mad Sailors,/the-mad-sailors
Kei Kaisendon (Marina Square),/kei-kaisendon-marina-square
Nyonya Flavours,/nyonyaflavourssingapore
Edith Patisserie,/edith-patisserie
MediumRare by Saveur,/mediumrare-by-saveur
Tamoya Udon (Liang Court),/tamoyasanuki-udon-1
Rookery (Capital Tower),/rookery-1
Omote,/omote
Hopii,/hopii-singapore
Red Sparrow,/red-sparrow
KOOKS Creamery (Serangoon),/kooks-creamery
Good Bites,/good-bites
Tom's Palette,/toms-palette
GOGO Bento,/gogobentosg
SKAI,/skai
Godmama,/godmama
The Coffee Academics (Scotts Square),/the-coffee-academics-singapore
Tenjin,/tenjin-restaurant
Nassim Hill Bakery Bistro Bar,/nassim-hill-bakery-bistro-bar
Vatos Urban Tacos (South Beach),/vatos-urban-tacos-2
The Moment Singapore,/the-moment-singapore
Mpire,/mpire-77-amoy-street
Pasta Brava,/pasta-brava
Paddyfolks,/paddyfolks
Pixy,/pixy-bar-cuisine
Wheeler's Yard,/whelers-yard
Oriole Coffee + Bar (Somerset),/oriole-cafe-bar
CHICHA San Chen,/chicha-san-chen
Yanmi Yogurt,/yanmi-yogurt
Delibowl Express (Funan),/delibowl-express-funan
Porta,/porta-sg
The Autobus,/the-autobus
Chico Loco,/chicolocosg
Catchfly,/catchfly
Pietro Ristorante Italiano,/pietro-ristorante-italiano-by-celebrity-chef-peter-neo
Working Title - Burger Bar,/working-title
Azur (Crowne Plaza Changi Airport),/azur-restaurant
Waa Cow! (Marina One),/waa-cow-marina-one
108 Matcha Saro (Suntec City),/108-matcha-saro
Dual,/dual
Tempura Tenten,/tenten
Keong Saik Bakery,/keong-saik-bakery
Clan Cafe,/clan-cafe
The Carvery,/the-carvery
Beirut Grill,/beirut-grill
Hei Kim Cafe,/heikim-cafe
Earlybird,/earlybird
Meat-Me Steakhouse,/meat-me-steakhouse
Maxi Coffee Bar,/maxi-coffee-bar
Qi Lai Feng (Chinatown Point),/qi-lai-feng-2
Oberstrasse,/oberstrasse
Mad For Garlic,/mad-for-garlic-2
Starbucks (Wisma Atria),/starbucks-142
Dim Sum Haus,/dim-sum-haus-at-57-jln-besar
Chong Qing Grilled Fish (Mosque Street),/chong-qing-grilled-fish-1
Farmers And Chefs,/farmers-chefs
Deli's Kitchen - Japan Grill Delicacy,/delis-kitchen
Two Cranes,/two-cranes
Outback Steakhouse (Orchard Gateway),/outback-steakhouse-45
Una Una,/una-una
L'éclair Patisserie (Jewel Changi Airport),/leclair-1
Sushiro,/sushiro-singapore
Udon Komadori,/udon-komadori
An Acai Affair (DUO Galleria),/anacaiaffair-duo-galleria
Fong Sheng Hao,/fongshenghaosg
Merely Ice Cream (Sunshine Plaza),/merely-ice-cream
The Dark Gallery (Millenia Walk),/the-dark-gallery-milleniawalk
AMANO,/amano-ristorante
Columbus Coffee Co.,/columbus-coffee-co
Twenty Grammes (Bugis),/twenty-grammes
Läderach Chocolatier Suisse,/laderach-swiss-chocolatier
Hatter Street (Kovan),/hatter-street-bakehouse-cafe
Cluck Cluck,/cluck-cluck-rochor-nafa
Dink Dink Thai Street Cafe,/dink-dink-thai-street-cafe
6 Letter Coffee,/6lettercoffee
WANTON Seng's Noodle Bar,/wanton-sengs-noodle-bar
Manpei,/manpei
Kai Duck,/kai-duck
Dosirak (Suntec City),/dosirak-suntec-city
The Plain Jane,/the-plain-jane
Alley on 25,/alley-on-25
The Laneway Market,/the-laneway-market
Kei Kaisendon (Paya Lebar Square),/kei-kaisendon-1
Xiang Hao Chi,/xiang-dessert-food
Souperstar (Tanjong Pagar Centre),/souperstar-1
Merci Marcel (Palais Renaissance),/merci-marcel-orchard-road
The Armoury,/the-armoury-gastrobar
Kajiken (Square 2),/kajiken-2
The Boneless Kitchen (Tai Seng),/the-boneless-kitchen-1
Tsui Wah (The Heeren),/tsui-wah-singapore-2
Denzy Gelato,/denzy-gelato
Chunky Lobsters (Oxley Tower),/chunkylobsters
Atlas Coffeehouse,/atlas-coffeehouse
Uni Gallery by OosterBay,/uni-gallery-by-oosterbay
IZY FOOK,/izy-fook
Supply & Demand (orchardgateway),/supply-demand-orchard-gateway
Kyushu Pancake Café,/kyushu-pancake-cafe-singapore
The Communal Place,/the-communal-place
Oatberry Granola Kitchen,/oatberry-granola-kitchen
Kei Kaisendon (Square 2),/kei-kaisendon
Giardino Pizza Bar & Grill,/pizza-giardino-chimes
FIVE Izakaya Bar,/five-izakaya-bar-ccp
Ramen Champion (Bugis+),/ramen-champion
Brine,/brine-singapore
Kanpai Izakaya & Bar,/kanpai-izakaya-bar
Roots Mediterranean,/roots-mediterranean
Spicy Rock,/spicy-rock
TAP Craft Beer Bar (Raffles City),/tap-craft-beer-raffles
Fuel Plus+,/fuel-plus
Two Men Bagel House (Novena),/two-men-bagel-house-novena
Delicious Boneless Chicken Rice,/delicious-boneless-chicken-rice
The Fabulous Baker Boy,/the-fabulous-baker-boy
Bearded Bella,/beardedbella
Dosirak,/dosirak-somerset-313
The Dark Gallery (Funan),/the-dark-gallery-funan
Eleven Strands,/eleven-strands
Chunky Lobsters (VivoCity),/chunky-lobsters-vivo
