,ReviewTitle,RestaurantAddress,RestaurantName,Review,Food,RestaurantReview,FoodReview,RestaurantFeature(spacy),FoodFeature(spacy),RestaurantFeature(vader),FoodFeature(vader)
0,"""Life is a combination of magic and noodles.""","11 Lorong 3 Toa Payoh, Singapore",Chef Kang’s Noodle House,Featuring Wonton Noodles from Chef Kang's Noodle House,,,featuring wonton noodles from chef kang's noodle house,,,,
1,#SoNotHungry 🤷🏻‍♀️ .,"215R Upper Thomson Road, Singapore",One Man Coffee (Upper Thomson),@igsg #igsg #singapore #foodpornasia @burpple #burpple #burpplebeyond @chopesg #chopesg #chopebites #chopedeals @hungrygowhere #hungrygowhere #setheats #eatoutsg #sgfood #foodsg #sgfoodie @sgfoodie @singaporeeats #singaporeeats #sgcafe #sgcafehopping #sgcafefood @cafehoppingsg #breakfast #brunch #bigbreakfast #alldaybreakfast @onemancoffee #onemancoffee #upperthomsonroad,coffee,                               ,,,,,
2,"#Throwback to dinner at the new @mimirestaurantsg, somewhat hidden on the second floor of @theriverhousesg - one of the oldest buildings along @clarkequaysg (built around the 1870s).","3A River Valley Road, Singapore",Mimi,"Interesting ambience, great service, and delectable modern chinese cuisine. Very glad we got to try this, will definitely return for more 😋 We had the Duck Sliders, Yin Yang Crab Sauce, Guinness Stout infused Pork Ribs, Deep Fried Code Squares, Salted Egg Fried Rice, and Lao Gan Ma Brussel Sprouts..#mimirestaurant #sgig #mimirestaurantsg #modchinesecuisine #modernchinese #secretrestaurant #clarkequay #rivervalley #modernchinesecuisine #burpple",,"interesting ambience, great service, and delectable modern chinese cuisine.","very glad we got to try this, will definitely return for more 😋 we had the duck sliders, yin yang crab sauce, guinness stout infused pork ribs, deep fried code squares, salted egg fried rice, and lao gan ma brussel sprouts..         ","great,delectable,modern,chinese","glad,got,try,definitely return,😋,yang,stout,infused,deep,fried,salted,gan,ma","great,delectable","glad,definitely,stout"
3,#breakfast #OOiaJ #overnightoatsinajar #eatclean #livelean this time with #organic rice milk from Pure Harvest (brand) available at Four Seasons Organic Market and Fairprice organic sections #goodthingsmustshare #endorphynnrecommends,Singapore,-,-,,-,,,,,
4,"#breakfast grapes, strawberries, banana, Pure Harvest organic rice milk",Singapore,-,-,,-,,,,,
5,#burpple,"112 East Coast Road, Singapore",GastroSmiths,-,,-,,,,,
6,#burpple #beefbowl,"112 East Coast Road, Singapore",GastroSmiths,-,,-,,,,,
7,"#burpple Apple Split (think banana split), but it's so not worth the calories","112 East Coast Road, Singapore",GastroSmiths,-,,-,,,,,
8,"#coldbrewsaturdays for hot weather with @bootstrapcoldbrew - I’ve gotten the Manuka White, like the hint of honey with the coffee, not too sweet.",Singapore,Singapore,The coffee is acceptably strong as well!,coffee,,the coffee is acceptably strong as well!,,acceptably strong,,"acceptably,strong"
9,#dimsum with family 😊 #FotoRus #roastedpork #pork #soup #silverfish #mushroom #dumpling #chickenfeet #siumai #squid #hargow #chinesefood #chinese #food #lunch #saturday #singapore,"391 Orchard Road, Singapore",Crystal Jade Palace Restaurant (Ngee Ann City),-,,-,,,,,
10,#family #burpple,"333 Orchard Road, Singapore",Shisen Hanten by Chen Kentaro,-,,-,,,,,
11,"#glutenfree toast, poached eggs, butter and jam and a #soylatte #latte #grouptherapy #brunch","30 East Coast Road, Singapore",Group Therapy (Katong V),-,,-,,,,,
12,"#jazpsterseoul 🇰🇷Absolutely divine, robust #Matcha Oreo Pie, balanced with a dense, bittersweet fudge-like base and savoury crust.",Changcheon-dong,파이홀,"Cozy space, so expect to wait for seats during peak periods. @lovepiehole #파이홀......#nothingisordinary #f52grams #dailyfoodfeed #eatingfortheinsta #spoonfeed #huffposttaste #findnewfood #buzzfeast #feedyoursoul #tastingtable #forkyeah #heresmyfood #eater #seoulsecret #seoulnation #ig_korea #seoulinspirit #seoul_korea #iphoneography #findnewfood #jazpsterkorea #astonfamtravels #burpple #sinchon #googlelocalguides","pho,pie","cozy space, so expect to wait for seats during peak periods.  ......                        ",,"cozy,expect,wait",,,
13,#joeanddough #coffee time with the girls!!,"277 Orchard Road, Singapore",Joe & Dough (orchardgateway),@chinfee21 @ralyr missing @clhjsmm #orchardgateway #singapore #cafe #sgcafe #cafehopping,,  missing      ,,missing,,missing,
14,#latergram #carryon #carryonsg and the #cafe promo for #GEWR2014 !!,"348 Tanjong Katong Road, Singapore",Carry On,Key in code and get 5km registration at $29 instead of $41 and 10km for $47 instead of $59 code is GEWR2014CAFE 😄😄 yayyyyy share with friends!! @justbeingarlyn @santhi_19 @whiskeyparker @mrshafsahjasmanjili @hellomrstan @sitingoi @elaineq,"tea,whiskey",,key in code and get 5km registration at $29 instead of $41 and 10km for $47 instead of $59 code is gewr2014cafe 😄😄 yayyyyy share with friends!!       ,,"key,gewr2014cafe,yayyyyy",,"😄,share,friends"
15,"#latergram fr #lunch earlier today - grilled wrap w spicy chicken breast - don't quite like it, prefer garlic aioli..","313 Orchard Road, Singapore",Smoothie King ([email protected]),And apple-kiwi-kale smoothie from #smoothieking #smoothiekingsg #goodthingsmustshare #endorphynnrecommends #313orchard #eatclean #livelean,"apple,smoothie",,and apple-kiwi-kale smoothie from       ,,,,
16,#nespresso #coffee #latte #lunch #caffeine #caffeinekick #sgcafe #cafe #cafehopping,"46 Sims Place, Singapore",The REAL Hut,-,,-,,,,,
17,"#throwback to last week's #dinner at Terminal 4 at London Fat Duck, pretty nice food there.","10 Airport Boulevard, Singapore",Sushi Goshin (Changi Airport Terminal 4),"Char siew roasted meat combo plate was awesome, you can literally hear the crackling sound when you are biting through the crispy skin of the roasted pork, and the well balanced seasoning of salt in it's tender meat, char siew was pretty fantastic as well, sweet marinated honey sauce at seeps right into the meat, but packs a little fatty meat in there, might not be well garnered by some folks, I just ate them all lol. The protaganist of course goes to the roasted duck meat, half a duck serves a good portion for a pax of 4, i cannot really deduce the concoction in the sauce, but it tasted with some mix of some herbs and braised broth within.#whati8today #burpple #8dayseat #londonfatduck #changiairport #tagforlikes #sgfood #sgfoodies #sgfoodie #sgfoods #chinesefood #roastedduck #roastedpork #charsiew","broth,changiairport,char siew,charsiew,duck,herbs,meat,pork,roasted pork,roastedpork",,"char siew roasted meat combo plate was awesome, you can literally hear the crackling sound when you are biting through the crispy skin of the roasted pork, and the well balanced seasoning of salt in it's tender meat, char siew was pretty fantastic as well, sweet marinated honey sauce at seeps right into the meat, but packs a little fatty meat in there, might not be well garnered by some folks, i just ate them all lol. the protaganist of course goes to the roasted duck meat, half a duck serves a good portion for a pax of 4, i cannot really deduce the concoction in the sauce, but it tasted with some mix of some herbs and braised broth within.             ",,"roasted,awesome,literally hear,crackling,biting,balanced,tender,pretty fantastic,sweet,marinated,packs,little,fatty,garnered,ate,goes,half,serves,good,deduce,tasted,braised",,"awesome,pretty,fantastic,sweet,lol,good"
