Restaurant,Food
/babasan-by-uncle-kiisu,"beer,fruit"
/babasan-by-uncle-kiisu,rice
/babasan-by-uncle-kiisu,"crispy pork,mee siam,pork,pork belly"
/babasan-by-uncle-kiisu,"fish,fish roe,rice,roe,seafood,unagi"
/yobo,"brown rice,cream,pumpkin,rice,salad"
/yobo,"aglio olio,brussel sprout,fusilli,mushroom,nut,pistachio,salad,soy"
/yobo,"brown rice,chicken,cream,kale chip,rice"
/yobo,"chicken,cream,kale chip,pumpkin,soy,soy chicken"
/enjoy-eating-house-and-bar,"cream,fish,fruit,meat,nut,otah,prawn,rice,seafood,tea,vegetable"
/enjoy-eating-house-and-bar,"broth,earl,mushroom,vermicelli"
/enjoy-eating-house-and-bar,"crab,crab meat,egg,fish,fish soup,meat,pork,pork cheek,truffle"
/enjoy-eating-house-and-bar,"egg,hor fun,mushroom,noodle,pork,prawn,rice,tart,vegetable"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,crab sauce,egg,prawn,tze char"
/enjoy-eating-house-and-bar,"apple,chicken,drink,fruit,meat,nut,pie,pineapple"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,crab sauce,prawn,seafood,tea"
/enjoy-eating-house-and-bar,bee hoon
/enjoy-eating-house-and-bar,"gula melaka,pandan"
/enjoy-eating-house-and-bar,meat
/enjoy-eating-house-and-bar,"broth,egg,spinach"
/enjoy-eating-house-and-bar,"horfun,prawn"
/enjoy-eating-house-and-bar,"beef,braised pork,cream,dessert,foiegras,pork,vermicelli"
/enjoy-eating-house-and-bar,"fish,fish soup,milk"
/enjoy-eating-house-and-bar,"drink,meat,pork,pork cheek,tze char"
/enjoy-eating-house-and-bar,"egg,hor fun,horfun,mushroom,noodle,pie,pork,prawn,rice,wanton,zichar"
/enjoy-eating-house-and-bar,"braised pork,earl,meat,mushroom,noodle,pork,thin noodles,vermicelli,wing"
/enjoy-eating-house-and-bar,"assam,basil,basil leave,bean,chilli,chilli sauce,curry,curry sauce,fish,lemon,lemongrass,meat,pho,rice,soy,soy sauce,tea"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,pork,pork cheek,prawn"
/enjoy-eating-house-and-bar,"meat,pork,pork cheek"
/enjoy-eating-house-and-bar,"fish,mushroom,zi char"
/enjoy-eating-house-and-bar,"coconut milk,cream,dessert,gingko nut,milk,noodle,nut,pandan,pumpkin,tea,yam,yam paste"
/enjoy-eating-house-and-bar,"chilli,chilli sauce,egg,pho,prawn,seafood"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,crab sauce,egg,prawn,rice,tea"
/enjoy-eating-house-and-bar,"beef,black pepper,chestnut,dessert,foie gras,lemon,nut,pie,tapioca,tenderloin,water chestnut,zichar"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,crab sauce,prawn,zi char"
/enjoy-eating-house-and-bar,"broth,meat"
/enjoy-eating-house-and-bar,"braised pork,pork,vermicelli"
/enjoy-eating-house-and-bar,chilli
/enjoy-eating-house-and-bar,pork
/enjoy-eating-house-and-bar,"hor fun,noodle"
/enjoy-eating-house-and-bar,chilli
/enjoy-eating-house-and-bar,fish
/enjoy-eating-house-and-bar,"chili crab,crab,crab sauce,egg,prawn"
/enjoy-eating-house-and-bar,"braised pork,pork,vermicelli"
/enjoy-eating-house-and-bar,"egg,mushroom,noodle,pork,prawn,rice"
/enjoy-eating-house-and-bar,"bread,burger,prawn"
/enjoy-eating-house-and-bar,"cream,fish,milk,mushroom"
/enjoy-eating-house-and-bar,"braised pork,chilli,chilli sauce,pork"
/enjoy-eating-house-and-bar,"fish,tea"
/enjoy-eating-house-and-bar,"chilli,chilli crab,chilli sauce,crab,crab sauce,prawn,rice"
/enjoy-eating-house-and-bar,pho
/enjoy-eating-house-and-bar,"assam,broth,fish,vegetable"
/enjoy-eating-house-and-bar,rice
/enjoy-eating-house-and-bar,"pie,prawn,tomato"
/enjoy-eating-house-and-bar,"cream,fish,fish soup,milk,mushroom"
/enjoy-eating-house-and-bar,"pork,pork cheek"
/enjoy-eating-house-and-bar,"chilli,chilli crab,crab,crab sauce,prawn,tea,tomato,tomato sauce"
/enjoy-eating-house-and-bar,"pork,vermicelli"
/enjoy-eating-house-and-bar,"mango,mango sticky,rice,sticky rice"
/enjoy-eating-house-and-bar,"broth,cream,fish,milk,mushroom,tea"
/enjoy-eating-house-and-bar,"bee hoon,pork,raisin,rice,vermicelli"
/enjoy-eating-house-and-bar,rice
